"","ID","Sex","Race","Age","Range","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","choice","choice_number","global","local","GminusL","LG_group"
"97","blg017","M","White",6,"5",3,3,"6_R.png","2_R.png","m","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"local",0,0,24,-24,"local"
"98","blg017","M","White",6,"5",4,4,"4_R.png","2_R.png","z","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,0,24,-24,"local"
"99","blg017","M","White",6,"5",5,5,"1_R.png","1_R.png","m","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"local",0,0,24,-24,"local"
"100","blg017","M","White",6,"5",6,6,"2_R.png","2_R.png","m","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,0,24,-24,"local"
"101","blg017","M","White",6,"5",7,7,"7.png","1.png","m","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,0,24,-24,"local"
"102","blg017","M","White",6,"5",8,8,"10.png","4.png","z","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"local",0,0,24,-24,"local"
"103","blg017","M","White",6,"5",9,9,"3.png","1.png","m","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"local",0,0,24,-24,"local"
"104","blg017","M","White",6,"5",10,10,"9.png","3.png","m","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"local",0,0,24,-24,"local"
"105","blg017","M","White",6,"5",11,11,"5.png","1.png","z","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,0,24,-24,"local"
"106","blg017","M","White",6,"5",12,12,"11_R.png","3_R.png","m","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"local",0,0,24,-24,"local"
"107","blg017","M","White",6,"5",13,13,"1.png","1.png","z","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"local",0,0,24,-24,"local"
"108","blg017","M","White",6,"5",14,14,"11.png","3.png","z","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"local",0,0,24,-24,"local"
"109","blg017","M","White",6,"5",15,15,"5_R.png","1_R.png","m","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"local",0,0,24,-24,"local"
"110","blg017","M","White",6,"5",16,16,"8.png","2.png","m","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"local",0,0,24,-24,"local"
"111","blg017","M","White",6,"5",17,17,"8_R.png","2_R.png","z","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"local",0,0,24,-24,"local"
"112","blg017","M","White",6,"5",18,18,"7_R.png","1_R.png","z","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"local",0,0,24,-24,"local"
"113","blg017","M","White",6,"5",19,19,"9_R.png","3_R.png","z","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"local",0,0,24,-24,"local"
"114","blg017","M","White",6,"5",20,20,"10_R.png","4_R.png","m","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"local",0,0,24,-24,"local"
"115","blg017","M","White",6,"5",21,21,"2.png","2.png","z","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"local",0,0,24,-24,"local"
"116","blg017","M","White",6,"5",22,22,"4.png","2.png","m","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"local",0,0,24,-24,"local"
"117","blg017","M","White",6,"5",23,23,"12.png","4.png","m","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"local",0,0,24,-24,"local"
"118","blg017","M","White",6,"5",24,24,"6.png","2.png","z","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"local",0,0,24,-24,"local"
"119","blg018","M","Asian",5,"5",1,1,"7.png","1.png","m","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,12,12,0,"local"
"120","blg018","M","Asian",5,"5",2,2,"9_R.png","3_R.png","z","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"local",0,12,12,0,"local"
"121","blg018","M","Asian",5,"5",3,3,"9.png","3.png","m","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"local",0,12,12,0,"local"
"122","blg018","M","Asian",5,"5",4,4,"12_R.png","4_R.png","z","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"local",0,12,12,0,"local"
"123","blg018","M","Asian",5,"5",5,5,"2_R.png","2_R.png","m","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,12,12,0,"local"
"124","blg018","M","Asian",5,"5",6,6,"8.png","2.png","m","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"local",0,12,12,0,"local"
"125","blg018","M","Asian",5,"5",7,7,"8_R.png","2_R.png","z","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"local",0,12,12,0,"local"
"126","blg018","M","Asian",5,"5",8,8,"10.png","4.png","m","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"global",1,12,12,0,"local"
"127","blg018","M","Asian",5,"5",9,9,"6_R.png","2_R.png","z","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"global",1,12,12,0,"local"
"128","blg018","M","Asian",5,"5",10,10,"1_R.png","1_R.png","m","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"local",0,12,12,0,"local"
"129","blg018","M","Asian",5,"5",11,11,"4.png","2.png","m","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"local",0,12,12,0,"local"
"130","blg018","M","Asian",5,"5",12,12,"12.png","4.png","z","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"global",1,12,12,0,"local"
"131","blg018","M","Asian",5,"5",13,13,"5.png","1.png","z","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,12,12,0,"local"
"132","blg018","M","Asian",5,"5",14,14,"3_R.png","1_R.png","z","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"local",0,12,12,0,"local"
"133","blg018","M","Asian",5,"5",15,15,"7_R.png","1_R.png","m","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"global",1,12,12,0,"local"
