"","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","ID","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","Age","Range","choice","choice_number"
"124",6,6,"10.png","4.png","z","blg011","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"5","5","local",0
"125",7,7,"8_R.png","2_R.png","z","blg011","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"126",8,8,"6_R.png","2_R.png","m","blg011","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"127",9,9,"12_R.png","4_R.png","z","blg011","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"5","5","local",0
"128",10,10,"10_R.png","4_R.png","m","blg011","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"5","5","local",0
"129",11,11,"11_R.png","3_R.png","m","blg011","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"5","5","local",0
"130",12,12,"8.png","2.png","m","blg011","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"131",13,13,"7_R.png","1_R.png","z","blg011","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"132",14,14,"4.png","2.png","m","blg011","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"133",15,15,"12.png","4.png","m","blg011","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"5","5","local",0
"134",16,16,"1_R.png","1_R.png","m","blg011","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"135",17,17,"2_R.png","2_R.png","m","blg011","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"136",18,18,"9_R.png","3_R.png","z","blg011","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"5","5","local",0
"137",19,19,"4_R.png","2_R.png","z","blg011","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"138",20,20,"5.png","1.png","z","blg011","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"139",21,21,"1.png","1.png","z","blg011","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"5","5","local",0
"140",22,22,"6.png","2.png","z","blg011","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"5","5","local",0
"141",23,23,"11.png","3.png","z","blg011","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"5","5","local",0
"142",24,24,"3_R.png","1_R.png","z","blg011","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"143",1,1,"2.png","2.png","z","blg012","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"144",2,2,"6.png","2.png","z","blg012","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"145",3,3,"7_R.png","1_R.png","m","blg012","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"146",4,4,"10.png","4.png","m","blg012","square","triangle",9,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","global",1
"147",5,5,"2_R.png","2_R.png","z","blg012","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"148",6,6,"5_R.png","1_R.png","z","blg012","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"149",7,7,"11.png","3.png","m","blg012","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","global",1
"150",8,8,"3.png","1.png","z","blg012","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"151",9,9,"1_R.png","1_R.png","z","blg012","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","global",1
"152",10,10,"3_R.png","1_R.png","z","blg012","triangle","triangle",3,"unspaced",0,"square","triangle",9,"triangle","square",6,"8","6 to 8","local",0
"153",11,11,"1.png","1.png","m","blg012","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"154",12,12,"7.png","1.png","z","blg012","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","global",1
"155",13,13,"8.png","2.png","z","blg012","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","global",1
"156",14,14,"10_R.png","4_R.png","z","blg012","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","global",1
"157",15,15,"11_R.png","3_R.png","z","blg012","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","global",1
"158",16,16,"6_R.png","2_R.png","m","blg012","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","local",0
"159",17,17,"4_R.png","2_R.png","m","blg012","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
"160",18,18,"5.png","1.png","z","blg012","square","square",4,"spaced",0,"triangle","square",6,"square","triangle",9,"8","6 to 8","local",0
"161",19,19,"8_R.png","2_R.png","m","blg012","triangle","square",3,"spaced",0,"square","square",9,"triangle","triangle",6,"8","6 to 8","global",1
